"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2024","577.99","579.90","583.90","575.00","99.25K","-0.85%"
"11/26/2024","566.50","579.79","579.79","560.01","229.06K","-1.99%"
"11/27/2024","572.98","575.00","585.99","570.06","484.85K","1.14%"
"11/28/2024","579.89","577.00","580.00","573.00","84.13K","1.21%"
"11/29/2024","593.50","585.00","597.00","584.00","440.37K","2.35%"
"12/02/2024","596.85","596.06","601.59","593.00","252.14K","0.56%"
"12/03/2024","591.01","595.00","595.11","584.50","300.78K","-0.98%"
"12/04/2024","610.01","590.00","613.80","586.00","466.33K","3.21%"
"12/05/2024","645.00","615.00","648.55","610.01","1.12M","5.74%"
"12/06/2024","630.69","648.00","649.00","627.00","328.88K","-2.22%"
"12/09/2024","658.54","631.00","666.00","630.00","724.85K","4.42%"
"12/10/2024","646.90","660.00","685.00","633.00","883.19K","-1.77%"
"12/11/2024","647.00","649.00","659.48","640.00","248.13K","0.02%"
"12/12/2024","640.00","650.00","653.98","635.00","322.40K","-1.08%"
"12/13/2024","628.00","638.98","638.98","620.00","457.34K","-1.88%"
"12/16/2024","628.01","635.00","638.00","625.00","350.59K","0.00%"
"12/17/2024","619.50","628.05","630.00","615.00","282.93K","-1.36%"
"12/18/2024","611.50","620.00","634.00","600.01","257.37K","-1.29%"
"12/19/2024","594.00","611.00","619.00","590.00","236.13K","-2.86%"
"12/20/2024","605.90","599.98","611.00","572.00","183.19K","2.00%"
"12/23/2024","626.10","633.00","636.00","607.01","317.19K","3.33%"
"12/24/2024","624.00","629.10","635.00","618.00","281.09K","-0.34%"
"12/26/2024","613.00","618.05","634.00","609.52","268.49K","-1.76%"
"12/27/2024","619.00","609.00","623.00","609.00","131.27K","0.98%"
"12/30/2024","624.22","622.40","626.00","612.60","163.97K","0.84%"
"12/31/2024","629.00","626.30","629.00","616.00","201.96K","0.77%"
"01/01/2025","654.00","625.01","666.00","622.00","951.38K","3.97%"
"01/02/2025","722.81","665.10","722.81","665.00","1.80M","10.52%"
"01/03/2025","731.00","734.99","753.00","705.00","1.13M","1.13%"
"01/06/2025","720.00","740.00","740.00","709.50","537.41K","-1.50%"
"01/07/2025","705.97","719.00","719.00","684.00","654.49K","-1.95%"
"01/08/2025","688.75","705.98","716.00","685.00","226.67K","-2.44%"
"01/09/2025","674.98","690.00","695.00","673.50","199.66K","-2.00%"
"01/10/2025","682.29","677.07","692.92","670.00","215.29K","1.08%"
"01/13/2025","720.28","689.89","736.00","685.50","1.20M","5.57%"
"01/14/2025","709.26","722.00","725.00","707.00","228.28K","-1.53%"
"01/15/2025","715.52","750.00","760.00","712.00","1.36M","0.88%"
"01/16/2025","692.04","710.00","714.99","686.20","629.88K","-3.28%"
"01/17/2025","702.90","695.00","707.00","685.00","354.03K","1.57%"
"01/20/2025","712.88","708.49","729.97","702.00","377.13K","1.42%"
"01/21/2025","697.28","715.00","716.00","695.00","254.59K","-2.19%"
"01/22/2025","685.84","692.50","709.90","680.11","310.02K","-1.64%"
"01/23/2025","694.17","685.84","698.00","679.50","226.55K","1.21%"
"01/24/2025","696.63","699.00","703.80","691.20","177.36K","0.35%"
"01/27/2025","684.20","698.00","703.00","681.03","145.06K","-1.78%"
"01/28/2025","681.73","682.60","687.11","674.00","161.69K","-0.36%"
"01/29/2025","683.65","685.00","695.70","680.25","328.23K","0.28%"
"01/30/2025","685.38","684.01","689.79","682.00","136.60K","0.25%"
"01/31/2025","687.57","685.00","692.00","685.00","137.75K","0.32%"
"02/03/2025","670.26","676.20","683.00","625.00","365.23K","-2.52%"
"02/04/2025","640.05","655.00","664.47","636.00","349.07K","-4.51%"
"02/06/2025","618.07","630.00","631.98","615.01","210.83K","-3.43%"
"02/07/2025","627.14","620.00","634.99","617.00","136.62K","1.47%"
"02/10/2025","648.38","620.01","660.00","620.01","226.06K","3.39%"
"02/11/2025","655.23","650.25","665.00","648.00","148.72K","1.06%"
"02/12/2025","641.69","650.00","655.00","639.00","187.35K","-2.07%"
"02/13/2025","634.16","642.00","644.97","631.00","98.97K","-1.17%"
"02/14/2025","629.99","630.01","643.90","625.00","81.99K","-0.66%"
"02/17/2025","622.49","630.00","636.97","620.00","94.74K","-1.19%"
"02/18/2025","641.18","624.87","648.00","619.00","126.07K","3.00%"
"02/19/2025","668.81","649.00","692.00","645.00","925.53K","4.31%"
"02/20/2025","665.52","669.99","671.90","662.00","167.37K","-0.49%"
"02/21/2025","664.19","668.00","668.00","661.81","110.76K","-0.20%"
"02/24/2025","659.33","665.00","666.00","650.00","317.38K","-0.73%"
"02/25/2025","657.08","660.00","663.49","651.00","212.13K","-0.34%"
"02/26/2025","660.56","663.00","667.00","658.00","194.52K","0.53%"
"02/27/2025","669.65","664.95","674.00","662.50","224.33K","1.38%"
"02/28/2025","677.21","670.03","680.50","670.03","388.31K","1.13%"
"03/03/2025","612.59","630.12","630.12","610.00","174.45K","-9.54%"
"03/04/2025","609.01","615.99","615.99","607.00","89.16K","-0.58%"
"03/05/2025","600.45","612.48","612.48","597.01","104.90K","-1.41%"
"03/06/2025","599.75","600.00","604.35","592.50","96.30K","-0.12%"
"03/07/2025","604.92","601.00","606.99","598.01","77.42K","0.86%"
"03/10/2025","597.84","606.00","609.99","596.91","222.56K","-1.17%"
"03/11/2025","593.77","599.90","599.98","590.00","125.99K","-0.68%"
"03/12/2025","586.88","593.77","593.77","581.00","142.59K","-1.16%"
"03/13/2025","587.87","587.50","596.00","586.00","114.15K","0.17%"
"03/14/2025","586.35","595.01","595.01","585.00","90.83K","-0.26%"
"03/17/2025","586.14","592.00","592.00","585.00","94.15K","-0.04%"
"03/18/2025","587.21","586.00","592.00","585.50","65.33K","0.18%"
"03/19/2025","588.18","591.90","591.90","587.00","77.32K","0.17%"
"03/20/2025","597.75","590.01","600.00","588.00","204.85K","1.63%"
"03/21/2025","607.39","600.00","618.99","600.00","283.26K","1.61%"
"03/24/2025","590.47","612.95","613.00","589.00","211.29K","-2.79%"
"03/25/2025","589.32","590.00","594.98","588.00","87.16K","-0.19%"
"03/26/2025","590.82","600.01","600.40","589.32","90.40K","0.25%"
"03/27/2025","598.15","595.47","599.96","585.00","144.80K","1.24%"
"04/03/2025","602.39","597.00","609.90","597.00","261.61K","0.71%"
"04/04/2025","602.44","603.87","610.90","602.02","180.27K","0.01%"
"04/07/2025","599.32","595.00","605.00","565.20","1.52M","-0.52%"
"04/08/2025","588.86","602.00","605.00","585.00","499.63K","-1.75%"
"04/09/2025","586.77","590.00","593.95","584.90","83.13K","-0.35%"
"04/10/2025","605.62","592.00","609.80","592.00","322.91K","3.21%"
"04/11/2025","597.34","599.50","603.48","595.00","103.64K","-1.37%"
"04/14/2025","596.37","602.00","602.00","595.00","45.36K","-0.16%"
"04/15/2025","598.34","597.33","601.00","591.91","110.50K","0.33%"
"04/16/2025","603.67","600.10","609.80","600.00","665.67K","0.89%"
"04/17/2025","603.87","601.00","605.10","599.99","76.15K","0.03%"
"04/18/2025","608.45","605.98","609.51","600.00","258.61K","0.76%"
"04/21/2025","620.22","609.00","626.94","609.00","306.59K","1.93%"
"04/22/2025","616.45","624.00","624.50","615.92","99.74K","-0.61%"
"04/23/2025","602.71","612.07","612.50","601.20","113.31K","-2.23%"
"04/24/2025","602.85","595.00","608.55","581.00","601.18K","0.02%"
"04/25/2025","601.19","602.00","608.00","581.03","670.25K","-0.28%"
"04/28/2025","595.38","601.19","616.19","592.12","243.90K","-0.97%"
"04/29/2025","593.25","586.00","605.00","584.05","121.28K","-0.36%"
"04/30/2025","561.80","593.25","603.00","558.00","238.88K","-5.30%"
"05/02/2025","569.82","565.05","580.00","564.99","169.94K","1.43%"
"05/05/2025","576.94","569.82","579.00","568.00","75.18K","1.25%"
"05/06/2025","574.33","576.01","579.99","570.70","49.49K","-0.45%"
"05/07/2025","556.18","520.00","573.90","520.00","198.46K","-3.16%"
"05/08/2025","531.68","565.01","567.00","500.56","215.12K","-4.41%"
"05/09/2025","539.63","532.00","545.00","505.00","100.92K","1.50%"
"05/12/2025","593.55","593.59","593.59","570.00","260.49K","9.99%"
"05/13/2025","588.19","590.00","595.00","582.00","130.00K","-0.90%"
"05/14/2025","583.33","592.00","592.00","580.00","82.99K","-0.83%"
"05/15/2025","580.34","582.00","586.00","577.50","83.24K","-0.51%"
"05/16/2025","580.79","582.00","586.60","579.00","88.04K","0.08%"
